time,T_set
2019-02-20T14:13:04Z,24
2019-02-20T14:16:40Z,24
2019-02-20T14:25:47Z,23
2019-02-20T14:28:13Z,19
2019-02-20T14:30:35Z,23
2019-02-20T14:31:40Z,23
2019-02-20T14:31:48Z,23
2019-02-20T14:35:30Z,19
2019-02-20T14:37:24Z,19
2019-02-20T14:38:12Z,23
2019-02-20T14:44:55Z,19
2019-02-20T14:54:38Z,23
2019-02-20T14:55:26Z,23
2019-02-20T14:57:07Z,23
2019-02-20T14:57:46Z,23
2019-02-20T14:58:20Z,23
2019-02-20T14:59:28Z,23
2019-02-20T15:07:42Z,19
2019-02-20T15:10:00Z,23
2019-02-20T15:12:38Z,23
2019-02-20T15:15:18Z,19
2019-02-20T15:17:39Z,23
2019-02-20T15:27:38Z,23
2019-02-20T15:42:38Z,23
2019-02-20T15:49:48Z,19
2019-02-20T15:52:02Z,23
2019-02-20T15:57:38Z,23
2019-02-20T16:10:59Z,23
2019-02-20T16:19:38Z,23
2019-02-20T16:34:38Z,23
2019-02-20T16:49:38Z,23
2019-02-20T17:00:07Z,19
2019-02-20T17:04:38Z,19
2019-02-20T17:19:38Z,19
2019-02-20T17:34:38Z,19
2019-02-20T17:49:38Z,19
2019-02-20T18:04:38Z,19
2019-02-20T18:19:38Z,19
2019-02-20T18:34:38Z,19
2019-02-20T18:49:38Z,19
2019-02-20T19:04:38Z,19
2019-02-20T19:19:38Z,19
2019-02-20T19:34:38Z,19
2019-02-20T19:49:38Z,19
2019-02-20T20:04:38Z,19
2019-02-20T20:19:38Z,19
2019-02-20T20:34:38Z,19
2019-02-20T20:49:38Z,19
2019-02-20T21:04:38Z,19
2019-02-20T21:19:38Z,19
2019-02-20T21:34:38Z,19
2019-02-20T21:49:38Z,19
2019-02-20T22:04:38Z,19
2019-02-20T22:13:53Z,19
2019-02-20T22:28:53Z,19
2019-02-20T22:43:53Z,19
2019-02-20T22:58:53Z,19
2019-02-20T23:13:53Z,19
2019-02-20T23:17:43Z,19
2019-02-20T23:32:43Z,19
2019-02-20T23:47:43Z,19
2019-02-21T00:02:43Z,19
2019-02-21T00:17:43Z,19
2019-02-21T00:32:43Z,19
2019-02-21T00:47:43Z,19
2019-02-21T01:02:43Z,19
2019-02-21T01:17:43Z,19
2019-02-21T01:32:43Z,19
2019-02-21T01:47:43Z,19
2019-02-21T02:02:43Z,19
2019-02-21T02:17:43Z,19
2019-02-21T02:32:43Z,19
2019-02-21T02:47:43Z,19
2019-02-21T03:02:43Z,19
2019-02-21T03:17:43Z,19
2019-02-21T03:32:43Z,19
2019-02-21T03:47:43Z,19
2019-02-21T04:02:43Z,19
2019-02-21T04:17:43Z,19
2019-02-21T04:32:43Z,19
2019-02-21T04:47:43Z,19
2019-02-21T05:02:43Z,19
2019-02-21T05:17:43Z,19
2019-02-21T05:30:04Z,23
2019-02-21T05:32:43Z,23
2019-02-21T05:47:43Z,23
2019-02-21T05:56:36Z,23
2019-02-21T05:58:14Z,23
2019-02-21T06:13:14Z,23
2019-02-21T06:28:14Z,23
2019-02-21T06:43:01Z,23
2019-02-21T06:54:40Z,23
2019-02-21T07:09:40Z,23
2019-02-21T07:24:40Z,23
2019-02-21T07:39:40Z,23
2019-02-21T07:54:40Z,23
2019-02-21T08:09:40Z,23
2019-02-21T08:24:40Z,23
2019-02-21T08:39:40Z,23
2019-02-21T08:54:40Z,23
2019-02-21T09:09:40Z,23
2019-02-21T09:24:40Z,23
2019-02-21T09:38:48Z,23
2019-02-21T09:43:28Z,23
2019-02-21T09:43:59Z,23
2019-02-21T09:45:05Z,23
2019-02-21T09:46:13Z,23
2019-02-21T09:50:23Z,23
2019-02-21T10:03:16Z,23
2019-02-21T10:05:23Z,23
2019-02-21T10:20:23Z,23
2019-02-21T10:35:23Z,23
2019-02-21T10:50:23Z,23
2019-02-21T11:05:23Z,23
2019-02-21T11:20:23Z,23
2019-02-21T11:35:23Z,23
2019-02-21T11:50:23Z,23
2019-02-21T12:05:23Z,23
2019-02-21T12:20:23Z,23
2019-02-21T12:35:23Z,23
2019-02-21T13:20:23Z,23
2019-02-21T13:35:23Z,23
2019-02-21T13:40:20Z,23
2019-02-21T13:55:20Z,23
2019-02-21T14:10:20Z,23
2019-02-21T14:25:20Z,23
2019-02-21T14:36:22Z,23
2019-02-21T14:40:20Z,23
2019-02-21T14:54:08Z,23
2019-02-21T14:55:20Z,23
2019-02-21T15:10:20Z,23
2019-02-21T15:17:04Z,23
2019-02-21T15:25:20Z,23
2019-02-21T15:40:20Z,23
2019-02-21T15:55:20Z,23
2019-02-21T16:10:20Z,23
2019-02-21T16:25:20Z,23
2019-02-21T16:57:27Z,23
2019-02-21T17:00:54Z,19
2019-02-21T17:12:27Z,19
2019-02-21T17:27:27Z,19
2019-02-21T17:42:27Z,19
2019-02-21T17:57:27Z,19
2019-02-21T18:12:27Z,19
2019-02-21T18:27:27Z,19
2019-02-21T18:42:27Z,19
2019-02-21T18:57:27Z,19
2019-02-21T19:12:27Z,19
2019-02-21T19:27:27Z,19
2019-02-21T19:42:27Z,19
2019-02-21T19:57:27Z,19
2019-02-21T20:12:27Z,19
2019-02-21T20:27:27Z,19
2019-02-21T20:42:27Z,19
2019-02-21T20:57:27Z,19
2019-02-21T21:12:27Z,19
2019-02-21T21:27:27Z,19
2019-02-21T21:42:27Z,19
2019-02-21T21:57:27Z,19
2019-02-21T22:12:27Z,19
2019-02-21T22:27:27Z,19
2019-02-21T22:42:27Z,19
2019-02-21T22:57:27Z,19
2019-02-21T23:12:27Z,19
2019-02-21T23:19:14Z,19
2019-02-21T23:34:14Z,19
2019-02-21T23:49:14Z,19
2019-02-22T00:04:14Z,19
2019-02-22T00:19:14Z,19
2019-02-22T00:34:14Z,19
2019-02-22T00:49:14Z,19
2019-02-22T01:04:14Z,19
2019-02-22T01:19:14Z,19
2019-02-22T01:34:14Z,19
2019-02-22T01:49:14Z,19
2019-02-22T02:04:14Z,19
2019-02-22T02:19:14Z,19
2019-02-22T02:34:14Z,19
2019-02-22T02:49:14Z,19
2019-02-22T03:04:14Z,19
2019-02-22T03:19:14Z,19
2019-02-22T03:34:14Z,19
2019-02-22T03:49:14Z,19
2019-02-22T04:04:14Z,19
2019-02-22T04:19:14Z,19
2019-02-22T04:34:14Z,19
2019-02-22T04:49:14Z,19
2019-02-22T05:04:14Z,19
2019-02-22T05:19:14Z,19
2019-02-22T05:30:13Z,23
2019-02-22T05:34:14Z,23
2019-02-22T06:04:14Z,23
2019-02-22T06:19:14Z,23
2019-02-22T06:34:14Z,23
2019-02-22T06:49:14Z,23
2019-02-22T07:04:14Z,23
2019-02-22T07:19:14Z,23
2019-02-22T07:34:14Z,23
2019-02-22T07:40:53Z,20.5
2019-02-22T07:49:14Z,20.5
2019-02-22T08:04:14Z,20.5
2019-02-22T08:19:14Z,20.5
2019-02-22T08:34:14Z,20.5
2019-02-22T08:49:14Z,20.5
2019-02-22T09:12:03Z,20.5
2019-02-22T09:27:03Z,20.5
2019-02-22T09:42:03Z,20.5
2019-02-22T09:57:03Z,20.5
2019-02-22T10:12:03Z,20.5
2019-02-22T10:27:03Z,20.5
2019-02-22T10:42:03Z,20.5
2019-02-22T10:57:03Z,20.5
2019-02-22T11:12:03Z,20.5
2019-02-22T11:27:03Z,20.5
2019-02-22T11:42:03Z,20.5
2019-02-22T11:57:03Z,20.5
2019-02-22T12:12:03Z,20.5
2019-02-22T12:27:03Z,20.5
2019-02-22T12:42:03Z,20.5
2019-02-22T12:57:03Z,20.5
2019-02-22T14:42:03Z,20.5
2019-02-22T14:57:03Z,20.5
2019-02-22T15:12:03Z,20.5
2019-02-22T15:42:03Z,20.5
2019-02-22T16:12:03Z,20.5
2019-02-22T16:27:03Z,20.5
2019-02-22T16:42:03Z,20.5
2019-02-22T16:57:03Z,20.5
2019-02-22T17:00:41Z,17.5
2019-02-22T17:12:03Z,17.5
2019-02-22T17:27:03Z,17.5
2019-02-22T17:42:03Z,17.5
2019-02-22T17:57:03Z,17.5
2019-02-22T18:12:03Z,17.5
2019-02-22T18:27:03Z,17.5
2019-02-22T18:42:03Z,17.5
2019-02-22T18:57:03Z,17.5
2019-02-22T19:12:03Z,17.5
2019-02-22T19:27:03Z,17.5
2019-02-22T19:42:03Z,17.5
2019-02-22T19:57:03Z,17.5
2019-02-22T20:12:03Z,17.5
2019-02-22T20:27:03Z,17.5
2019-02-22T20:42:03Z,17.5
2019-02-22T20:57:03Z,17.5
2019-02-22T21:12:03Z,17.5
