time,T_in
2019-02-20T13:26:05Z,23.72
2019-02-20T13:57:47Z,23.72
2019-02-20T13:59:52Z,23.72
2019-02-20T14:03:29Z,23.72
2019-02-20T14:13:04Z,23.72
2019-02-20T14:16:40Z,23.72
2019-02-20T14:25:56Z,24.08
2019-02-20T14:26:44Z,24.17
2019-02-20T14:30:48Z,24.26
2019-02-20T14:31:40Z,24.26
2019-02-20T14:31:48Z,24.26
2019-02-20T14:37:24Z,24.26
2019-02-20T14:55:45Z,24.26
2019-02-20T14:56:02Z,24.26
2019-02-20T14:56:40Z,23.72
2019-02-20T14:57:07Z,23.72
2019-02-20T14:57:46Z,23.72
2019-02-20T14:58:20Z,23.72
2019-02-20T14:59:28Z,23.72
2019-02-20T15:04:43Z,23.45
2019-02-20T15:09:33Z,23.36
2019-02-20T15:12:38Z,23.36
2019-02-20T15:12:47Z,23.18
2019-02-20T15:20:45Z,23.09
2019-02-20T15:27:38Z,23.09
2019-02-20T15:42:38Z,23.09
2019-02-20T15:50:47Z,23.18
2019-02-20T15:57:38Z,23.18
2019-02-20T16:10:59Z,23.18
2019-02-20T16:19:38Z,23.18
2019-02-20T16:34:38Z,23.18
2019-02-20T16:49:38Z,23.18
2019-02-20T17:01:52Z,23.09
2019-02-20T17:04:38Z,23.09
2019-02-20T17:19:38Z,23.09
2019-02-20T17:25:53Z,22.64
2019-02-20T17:34:38Z,22.64
2019-02-20T17:43:56Z,22.11
2019-02-20T17:49:38Z,22.11
2019-02-20T18:04:08Z,21.58
2019-02-20T18:04:38Z,21.58
2019-02-20T18:19:38Z,21.58
2019-02-20T18:27:08Z,21.05
2019-02-20T18:34:38Z,21.05
2019-02-20T18:49:38Z,21.05
2019-02-20T18:56:35Z,20.52
2019-02-20T19:04:38Z,20.52
2019-02-20T19:19:38Z,20.52
2019-02-20T19:34:38Z,20.52
2019-02-20T19:42:54Z,19.99
2019-02-20T19:49:38Z,19.99
2019-02-20T20:04:38Z,19.99
2019-02-20T20:19:38Z,19.99
2019-02-20T20:34:38Z,19.99
2019-02-20T20:49:38Z,19.99
2019-02-20T21:04:38Z,19.99
2019-02-20T21:05:32Z,19.46
2019-02-20T21:19:38Z,19.46
2019-02-20T21:34:38Z,19.46
2019-02-20T21:49:38Z,19.46
2019-02-20T22:04:38Z,19.46
2019-02-20T22:13:53Z,19.46
2019-02-20T22:28:53Z,19.46
2019-02-20T22:43:53Z,19.46
2019-02-20T22:58:53Z,19.46
2019-02-20T23:13:53Z,19.46
2019-02-20T23:17:43Z,19.46
2019-02-20T23:32:43Z,19.46
2019-02-20T23:47:43Z,19.46
2019-02-20T23:56:53Z,18.93
2019-02-21T00:02:43Z,18.93
2019-02-21T00:17:43Z,18.93
2019-02-21T00:32:43Z,18.93
2019-02-21T00:47:43Z,18.93
2019-02-21T01:02:43Z,18.93
2019-02-21T01:17:43Z,18.93
2019-02-21T01:32:43Z,18.93
2019-02-21T01:47:43Z,18.93
2019-02-21T02:02:43Z,18.93
2019-02-21T02:17:43Z,18.93
2019-02-21T02:32:43Z,18.93
2019-02-21T02:47:43Z,18.93
2019-02-21T03:02:43Z,18.93
2019-02-21T03:17:43Z,18.93
2019-02-21T03:32:43Z,18.93
2019-02-21T03:47:43Z,18.93
2019-02-21T04:02:43Z,18.93
2019-02-21T04:16:45Z,18.49
2019-02-21T04:17:43Z,18.49
2019-02-21T04:24:03Z,18.58
2019-02-21T04:32:43Z,18.58
2019-02-21T04:47:43Z,18.58
2019-02-21T05:02:43Z,18.58
2019-02-21T05:17:43Z,18.58
2019-02-21T05:30:12Z,19.1
2019-02-21T05:32:43Z,19.1
2019-02-21T05:39:38Z,19.54
2019-02-21T05:45:41Z,20.25
2019-02-21T05:47:43Z,20.25
2019-02-21T05:51:46Z,20.87
2019-02-21T05:56:35Z,20.87
2019-02-21T05:56:36Z,20.87
2019-02-21T05:57:49Z,21.4
2019-02-21T05:58:14Z,21.4
2019-02-21T06:05:52Z,21.93
2019-02-21T06:13:14Z,21.93
2019-02-21T06:13:58Z,22.47
2019-02-21T06:28:14Z,22.47
2019-02-21T06:43:01Z,22.47
2019-02-21T06:54:40Z,22.47
2019-02-21T07:09:40Z,22.47
2019-02-21T07:24:40Z,22.47
2019-02-21T07:39:40Z,22.47
2019-02-21T07:54:40Z,22.47
2019-02-21T08:09:40Z,22.47
2019-02-21T08:24:40Z,22.47
2019-02-21T08:39:40Z,22.47
2019-02-21T08:54:40Z,22.47
2019-02-21T09:09:40Z,22.47
2019-02-21T09:24:40Z,22.47
2019-02-21T09:24:44Z,23
2019-02-21T09:38:31Z,23
2019-02-21T09:38:48Z,23
2019-02-21T09:42:48Z,23
2019-02-21T09:42:54Z,23
2019-02-21T09:43:59Z,23
2019-02-21T09:45:05Z,23
2019-02-21T09:46:13Z,23
2019-02-21T09:50:23Z,23
2019-02-21T10:05:23Z,23
2019-02-21T10:19:59Z,23.45
2019-02-21T10:20:23Z,23.45
2019-02-21T10:35:23Z,23.45
2019-02-21T10:50:23Z,23.45
2019-02-21T10:59:46Z,23.45
2019-02-21T11:05:23Z,23.45
2019-02-21T11:20:23Z,23.45
2019-02-21T11:25:08Z,23.45
2019-02-21T11:35:23Z,23.45
2019-02-21T11:50:23Z,23.45
2019-02-21T11:54:39Z,23
2019-02-21T12:05:23Z,23
2019-02-21T12:20:23Z,23
2019-02-21T12:35:23Z,23
2019-02-21T12:44:26Z,23
2019-02-21T12:46:16Z,23
2019-02-21T12:50:23Z,23
2019-02-21T13:05:23Z,23
2019-02-21T13:20:23Z,23
2019-02-21T13:35:23Z,23
2019-02-21T13:40:20Z,23
2019-02-21T13:55:20Z,23
2019-02-21T14:10:20Z,23
2019-02-21T14:25:20Z,23
2019-02-21T14:34:30Z,23
2019-02-21T14:40:20Z,23
2019-02-21T14:52:28Z,23
2019-02-21T14:55:20Z,23
2019-02-21T15:10:20Z,23
2019-02-21T15:12:29Z,23.18
2019-02-21T15:16:30Z,23.18
2019-02-21T15:25:20Z,23.18
2019-02-21T15:28:33Z,23
2019-02-21T15:33:47Z,23
2019-02-21T15:40:20Z,23
2019-02-21T15:55:20Z,23
2019-02-21T16:10:20Z,23
2019-02-21T16:16:37Z,22.91
2019-02-21T16:16:38Z,22.91
2019-02-21T16:17:21Z,23
2019-02-21T16:25:20Z,23
2019-02-21T16:26:39Z,23.09
2019-02-21T16:56:40Z,22.91
2019-02-21T16:57:27Z,22.91
2019-02-21T17:12:27Z,22.91
2019-02-21T17:27:27Z,22.91
2019-02-21T17:32:41Z,22.47
2019-02-21T17:42:27Z,22.47
2019-02-21T17:51:31Z,21.93
2019-02-21T17:57:27Z,21.93
2019-02-21T18:11:40Z,21.4
2019-02-21T18:12:27Z,21.4
2019-02-21T18:27:27Z,21.4
2019-02-21T18:35:53Z,20.87
2019-02-21T18:42:27Z,20.87
2019-02-21T18:57:27Z,20.87
2019-02-21T19:06:04Z,20.34
2019-02-21T19:12:27Z,20.34
2019-02-21T19:27:27Z,20.34
2019-02-21T19:42:27Z,20.34
2019-02-21T19:48:47Z,19.81
2019-02-21T19:57:27Z,19.81
2019-02-21T20:12:27Z,19.81
2019-02-21T20:27:27Z,19.81
2019-02-21T20:42:27Z,19.81
2019-02-21T20:42:51Z,19.28
2019-02-21T20:57:27Z,19.28
2019-02-21T21:12:27Z,19.28
2019-02-21T21:27:27Z,19.28
2019-02-21T21:42:27Z,19.28
2019-02-21T21:57:27Z,19.28
2019-02-21T22:12:27Z,19.28
2019-02-21T22:27:27Z,19.28
2019-02-21T22:28:50Z,18.75
2019-02-21T22:42:27Z,18.75
2019-02-21T22:57:27Z,18.75
2019-02-21T23:12:27Z,18.75
2019-02-21T23:19:13Z,18.75
