time,valve
2019-02-20T13:34:04Z,32
2019-02-20T13:38:04Z,27
2019-02-20T14:25:56Z,9
2019-02-20T14:26:46Z,5
2019-02-20T14:32:28Z,2
2019-02-20T14:55:36Z,2
2019-02-20T14:56:40Z,7
2019-02-20T15:04:43Z,12
2019-02-20T15:07:50Z,6
2019-02-20T15:09:34Z,14
2019-02-20T15:16:52Z,0
2019-02-20T15:17:31Z,18
2019-02-20T15:30:57Z,24
2019-02-20T15:37:02Z,19
2019-02-20T15:49:05Z,14
2019-02-20T15:50:48Z,17
2019-02-20T15:59:07Z,13
2019-02-20T16:03:10Z,18
2019-02-20T16:21:18Z,24
2019-02-20T16:27:22Z,18
2019-02-20T17:00:14Z,0
2019-02-21T00:35:16Z,5
2019-02-21T00:37:22Z,1
2019-02-21T00:59:52Z,5
2019-02-21T02:08:03Z,11
2019-02-21T03:22:38Z,15
2019-02-21T04:19:03Z,20
2019-02-21T04:23:04Z,16
2019-02-21T04:31:11Z,11
2019-02-21T04:43:14Z,6
2019-02-21T05:30:12Z,53
2019-02-21T05:32:03Z,87
2019-02-21T05:39:44Z,82
2019-02-21T05:43:45Z,76
2019-02-21T05:47:46Z,68
2019-02-21T05:49:49Z,60
2019-02-21T05:53:50Z,52
2019-02-21T05:57:49Z,47
2019-02-21T06:01:52Z,43
2019-02-21T06:05:52Z,38
2019-02-21T06:13:58Z,31
2019-02-21T06:16:09Z,26
2019-02-21T06:42:15Z,32
2019-02-21T07:22:32Z,28
2019-02-21T07:28:36Z,22
2019-02-21T07:48:44Z,27
2019-02-21T08:06:51Z,33
2019-02-21T08:16:55Z,29
2019-02-21T08:25:02Z,24
2019-02-21T08:49:16Z,29
2019-02-21T09:05:20Z,35
2019-02-21T09:13:25Z,31
2019-02-21T09:21:26Z,25
2019-02-21T09:29:31Z,20
2019-02-21T09:38:32Z,18
2019-02-21T09:43:11Z,18
2019-02-21T10:01:50Z,24
2019-02-21T10:09:50Z,18
2019-02-21T10:19:59Z,13
2019-02-21T10:38:04Z,19
2019-02-21T10:52:13Z,24
2019-02-21T10:59:47Z,24
2019-02-21T11:00:13Z,19
2019-02-21T11:00:14Z,19
2019-02-21T11:10:23Z,13
2019-02-21T11:25:34Z,13
2019-02-21T11:38:31Z,19
2019-02-21T11:50:40Z,25
2019-02-21T11:54:40Z,19
2019-02-21T12:08:50Z,14
2019-02-21T12:35:02Z,20
2019-02-21T12:44:29Z,20
2019-02-21T12:46:19Z,20
2019-02-21T13:27:24Z,25
2019-02-21T13:37:30Z,20
2019-02-21T14:34:30Z,20
2019-02-21T14:52:39Z,20
2019-02-21T15:12:17Z,16
2019-02-21T15:16:33Z,16
2019-02-21T15:28:24Z,22
2019-02-21T15:33:47Z,22
2019-02-21T15:40:33Z,17
2019-02-21T16:08:42Z,24
2019-02-21T16:17:21Z,18
2019-02-21T16:55:08Z,24
2019-02-21T17:01:01Z,19
2019-02-21T17:02:38Z,0
2019-02-21T22:03:33Z,5
2019-02-21T22:59:57Z,10
2019-02-22T00:14:36Z,15
2019-02-22T00:50:54Z,20
2019-02-22T01:17:08Z,26
2019-02-22T01:39:30Z,31
2019-02-22T02:01:29Z,37
2019-02-22T02:23:40Z,42
2019-02-22T02:35:41Z,47
2019-02-22T02:53:52Z,52
2019-02-22T03:12:02Z,56
2019-02-22T03:28:07Z,61
2019-02-22T03:46:15Z,66
2019-02-22T04:06:26Z,62
2019-02-22T04:10:30Z,55
2019-02-22T04:14:28Z,49
2019-02-22T04:18:34Z,42
2019-02-22T04:20:38Z,36
2019-02-22T04:22:45Z,31
2019-02-22T04:26:34Z,24
2019-02-22T04:28:42Z,19
2019-02-22T04:30:45Z,16
2019-02-22T04:32:51Z,10
2019-02-22T04:34:56Z,6
2019-02-22T04:37:00Z,2
2019-02-22T05:30:20Z,18
2019-02-22T05:31:33Z,74
2019-02-22T05:41:14Z,69
2019-02-22T05:47:16Z,62
2019-02-22T05:49:20Z,56
2019-02-22T05:53:17Z,51
2019-02-22T05:59:18Z,47
2019-02-22T06:01:24Z,43
2019-02-22T06:09:23Z,38
2019-02-22T06:11:28Z,33
2019-02-22T06:17:29Z,27
2019-02-22T06:25:31Z,23
2019-02-22T06:27:34Z,22
2019-02-22T06:29:37Z,16
2019-02-22T06:33:34Z,13
2019-02-22T06:57:45Z,9
2019-02-22T07:05:53Z,15
2019-02-22T07:11:56Z,11
2019-02-22T07:17:57Z,18
2019-02-22T07:26:01Z,23
2019-02-22T07:36:07Z,18
2019-02-22T07:40:53Z,8
2019-02-22T07:42:59Z,0
2019-02-22T12:10:19Z,5
2019-02-22T12:20:21Z,10
2019-02-22T12:36:29Z,17
2019-02-22T12:52:35Z,22
2019-02-22T14:41:30Z,49
2019-02-22T14:55:34Z,45
2019-02-22T15:21:48Z,51
2019-02-22T16:08:11Z,68
2019-02-22T16:22:17Z,74
2019-02-22T16:34:24Z,80
2019-02-22T16:48:30Z,87
2019-02-22T17:00:49Z,76
2019-02-22T17:02:53Z,29
2019-02-22T17:20:46Z,34
2019-02-22T17:49:01Z,40
2019-02-22T18:15:12Z,45
2019-02-22T18:51:30Z,52
2019-02-22T19:25:47Z,57
2019-02-22T20:04:01Z,62
2019-02-22T20:36:16Z,68
2019-02-22T21:06:31Z,73
2019-02-22T21:34:49Z,77
2019-02-22T21:59:01Z,82
2019-02-22T22:23:11Z,87
2019-02-22T22:46:00Z,91
2019-02-22T23:17:39Z,96
2019-02-22T23:37:48Z,100
2019-02-23T08:38:03Z,96
2019-02-23T08:42:06Z,91
2019-02-23T08:46:07Z,87
2019-02-23T08:52:12Z,82
2019-02-23T09:00:15Z,77
2019-02-23T09:32:28Z,82
2019-02-23T09:58:56Z,88
2019-02-23T10:23:00Z,84
2019-02-23T11:43:35Z,89
2019-02-23T12:21:51Z,95
2019-02-23T12:56:10Z,100
2019-02-24T09:19:52Z,95
2019-02-24T09:25:56Z,87
2019-02-24T09:29:57Z,84
2019-02-24T09:38:03Z,79
2019-02-24T09:58:13Z,75
2019-02-24T10:16:21Z,71
2019-02-24T10:48:37Z,76
2019-02-24T11:34:57Z,82
2019-02-24T12:15:15Z,89
2019-02-24T12:43:27Z,93
2019-02-24T13:05:39Z,98
2019-02-25T03:46:40Z,93
2019-02-25T03:50:41Z,85
2019-02-25T03:54:45Z,78
2019-02-25T03:56:48Z,73
2019-02-25T04:00:46Z,67
2019-02-25T04:02:50Z,63
2019-02-25T04:04:54Z,59
2019-02-25T04:08:51Z,53
2019-02-25T04:12:55Z,46
2019-02-25T04:16:55Z,42
2019-02-25T04:20:59Z,37
2019-02-25T04:24:57Z,32
2019-02-25T04:29:02Z,27
2019-02-25T04:33:06Z,22
2019-02-25T04:39:07Z,20
2019-02-25T04:41:11Z,14
2019-02-25T04:47:12Z,10
2019-02-25T05:09:52Z,15
2019-02-25T05:11:56Z,11
2019-02-25T05:15:23Z,16
2019-02-25T05:23:27Z,21
2019-02-25T05:29:32Z,27
2019-02-25T05:31:38Z,97
2019-02-25T05:37:32Z,93
2019-02-25T05:43:39Z,89
2019-02-25T05:47:42Z,84
2019-02-25T05:53:44Z,78
2019-02-25T05:59:48Z,73
2019-02-25T06:05:45Z,68
2019-02-25T06:13:50Z,62
2019-02-25T06:21:56Z,56
2019-02-25T06:27:58Z,53
2019-02-25T06:36:00Z,48
2019-02-25T06:46:06Z,43
2019-02-25T06:56:10Z,38
2019-02-25T07:08:18Z,33
2019-02-25T07:22:26Z,29
2019-02-25T07:26:27Z,24
2019-02-25T07:32:27Z,19
2019-02-25T07:40:33Z,16
2019-02-25T07:48:35Z,21
2019-02-25T07:50:38Z,17
2019-02-25T07:56:40Z,23
2019-02-25T08:08:45Z,17
2019-02-25T08:16:49Z,12
2019-02-25T08:41:03Z,18
2019-02-25T08:45:02Z,14
2019-02-25T09:07:19Z,10
2019-02-25T09:25:25Z,15
2019-02-25T10:01:43Z,11
2019-02-25T10:24:30Z,18
2019-02-25T11:16:14Z,12
2019-02-25T11:46:33Z,18
2019-02-25T11:58:37Z,13
2019-02-25T12:26:50Z,18
2019-02-25T13:17:15Z,24
2019-02-25T13:21:19Z,19
2019-02-25T13:27:18Z,15
2019-02-25T13:33:21Z,11
2019-02-25T13:47:30Z,7
2019-02-25T14:13:39Z,14
2019-02-25T14:21:48Z,19
2019-02-25T14:33:51Z,14
2019-02-25T14:39:52Z,10
2019-02-25T15:06:09Z,15
2019-02-25T17:00:49Z,0
2019-02-25T18:05:11Z,40
2019-02-25T18:17:36Z,47
2019-02-25T18:19:40Z,42
2019-02-25T18:27:46Z,47
2019-02-25T18:51:52Z,53
2019-02-25T19:06:00Z,58
2019-02-25T19:20:05Z,63
2019-02-25T19:34:14Z,70
2019-02-25T19:46:18Z,75
2019-02-25T19:58:23Z,82
2019-02-25T20:00:58Z,0
2019-02-25T21:45:19Z,5
2019-02-25T22:23:33Z,10
2019-02-25T23:11:59Z,15
2019-02-26T00:20:29Z,20
2019-02-26T01:08:55Z,25
2019-02-26T02:03:20Z,30
2019-02-26T02:46:18Z,36
2019-02-26T03:52:14Z,41
2019-02-26T04:04:17Z,36
2019-02-26T04:10:18Z,32
2019-02-26T04:14:24Z,27
2019-02-26T04:18:25Z,0
2019-02-26T05:30:20Z,51
2019-02-26T05:37:00Z,47
2019-02-26T05:41:04Z,43
