time,T_in,valve,T_set
2019-02-20T14:13:04Z,23.72,27,24
2019-02-20T14:18:04Z,23.72,27,24
2019-02-20T14:23:04Z,23.72,27,24
2019-02-20T14:28:04Z,24.17,5,23
2019-02-20T14:33:04Z,24.26,2,23
2019-02-20T14:38:04Z,24.26,2,19
2019-02-20T14:43:04Z,24.26,2,23
2019-02-20T14:48:04Z,24.26,2,19
2019-02-20T14:53:04Z,24.26,2,19
2019-02-20T14:58:04Z,23.72,7,23
2019-02-20T15:03:04Z,23.72,7,23
2019-02-20T15:08:04Z,23.45,6,19
2019-02-20T15:13:04Z,23.18,14,23
2019-02-20T15:18:04Z,23.18,18,23
2019-02-20T15:23:04Z,23.09,18,23
2019-02-20T15:28:04Z,23.09,18,23
2019-02-20T15:33:04Z,23.09,24,23
2019-02-20T15:38:04Z,23.09,19,23
2019-02-20T15:43:04Z,23.09,19,23
2019-02-20T15:48:04Z,23.09,19,23
2019-02-20T15:53:04Z,23.18,17,23
2019-02-20T15:58:04Z,23.18,17,23
2019-02-20T16:03:04Z,23.18,13,23
2019-02-20T16:08:04Z,23.18,18,23
2019-02-20T16:13:04Z,23.18,18,23
2019-02-20T16:18:04Z,23.18,18,23
2019-02-20T16:23:04Z,23.18,24,23
2019-02-20T16:28:04Z,23.18,18,23
2019-02-20T16:33:04Z,23.18,18,23
2019-02-20T16:38:04Z,23.18,18,23
2019-02-20T16:43:04Z,23.18,18,23
2019-02-20T16:48:04Z,23.18,18,23
2019-02-20T16:53:04Z,23.18,18,23
2019-02-20T16:58:04Z,23.18,18,23
2019-02-20T17:03:04Z,23.09,0,19
2019-02-20T17:08:04Z,23.09,0,19
2019-02-20T17:13:04Z,23.09,0,19
2019-02-20T17:18:04Z,23.09,0,19
2019-02-20T17:23:04Z,23.09,0,19
2019-02-20T17:28:04Z,22.64,0,19
2019-02-20T17:33:04Z,22.64,0,19
2019-02-20T17:38:04Z,22.64,0,19
2019-02-20T17:43:04Z,22.64,0,19
2019-02-20T17:48:04Z,22.11,0,19
2019-02-20T17:53:04Z,22.11,0,19
2019-02-20T17:58:04Z,22.11,0,19
2019-02-20T18:03:04Z,22.11,0,19
2019-02-20T18:08:04Z,21.58,0,19
2019-02-20T18:13:04Z,21.58,0,19
2019-02-20T18:18:04Z,21.58,0,19
2019-02-20T18:23:04Z,21.58,0,19
2019-02-20T18:28:04Z,21.05,0,19
2019-02-20T18:33:04Z,21.05,0,19
2019-02-20T18:38:04Z,21.05,0,19
2019-02-20T18:43:04Z,21.05,0,19
2019-02-20T18:48:04Z,21.05,0,19
2019-02-20T18:53:04Z,21.05,0,19
2019-02-20T18:58:04Z,20.52,0,19
2019-02-20T19:03:04Z,20.52,0,19
2019-02-20T19:08:04Z,20.52,0,19
2019-02-20T19:13:04Z,20.52,0,19
2019-02-20T19:18:04Z,20.52,0,19
2019-02-20T19:23:04Z,20.52,0,19
2019-02-20T19:28:04Z,20.52,0,19
2019-02-20T19:33:04Z,20.52,0,19
2019-02-20T19:38:04Z,20.52,0,19
2019-02-20T19:43:04Z,19.99,0,19
2019-02-20T19:48:04Z,19.99,0,19
2019-02-20T19:53:04Z,19.99,0,19
2019-02-20T19:58:04Z,19.99,0,19
2019-02-20T20:03:04Z,19.99,0,19
2019-02-20T20:08:04Z,19.99,0,19
2019-02-20T20:13:04Z,19.99,0,19
2019-02-20T20:18:04Z,19.99,0,19
2019-02-20T20:23:04Z,19.99,0,19
2019-02-20T20:28:04Z,19.99,0,19
2019-02-20T20:33:04Z,19.99,0,19
2019-02-20T20:38:04Z,19.99,0,19
2019-02-20T20:43:04Z,19.99,0,19
